id	codigoInterno	codigoExterno	fechaRecoleccion	sexo	latitud	longitud	ubicacion	detalle	especie_codigo	tejido_codigo	region_codigo	localidad_codigo	profesional_codigo	institucion_codigo	modoRecoleccion_codigo
1	RUEDA13|WINTER|F102|1	F102	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
27	RUEDA13|WINTER|F137|27	F137	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
5	RUEDA13|WINTER|F113|5	F113	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
13	RUEDA13|WINTER|F122|13	F122	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
88	RUEDA13|FALL|F593|88	F593	2009-04-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
89	RUEDA13|FALL|F594|89	F594	2009-04-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
14	RUEDA13|WINTER|F123|14	F123	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
24	RUEDA13|WINTER|F133|24	F133	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
8	RUEDA13|WINTER|F117|8	F117	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
65	RUEDA13|FALL|F493|65	F493	2009-04-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
38	RUEDA13|SPRING|F243|38	F243	2008-10-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
87	RUEDA13|FALL|F592|87	F592	2009-04-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
80	RUEDA13|FALL|F578|80	F578	2009-04-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
29	RUEDA13|WINTER|F139|29	F139	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
6	RUEDA13|WINTER|F115|6	F115	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
67	RUEDA13|FALL|F523|67	F523	2009-04-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
52	RUEDA13|SPRING|F257|52	F257	2008-10-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
46	RUEDA13|SPRING|F251|46	F251	2008-10-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
55	RUEDA13|SPRING|F260|55	F260	2008-10-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
39	RUEDA13|SPRING|F244|39	F244	2008-10-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
64	RUEDA13|FALL|F492|64	F492	2009-04-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
50	RUEDA13|SPRING|F255|50	F255	2008-10-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
25	RUEDA13|WINTER|F134|25	F134	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
12	RUEDA13|WINTER|F121|12	F121	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
82	RUEDA13|FALL|F580|82	F580	2009-04-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
66	RUEDA13|FALL|F494|66	F494	2009-04-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
22	RUEDA13|WINTER|F131|22	F131	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
15	RUEDA13|WINTER|F124|15	F124	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
91	RUEDA13|FALL|F596|91	F596	2009-04-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
58	RUEDA13|SPRING|F264|58	F264	2008-10-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
60	RUEDA13|SPRING|F266|60	F266	2008-10-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
44	RUEDA13|SPRING|F249|44	F249	2008-10-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
83	RUEDA13|FALL|F581|83	F581	2009-04-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
18	RUEDA13|WINTER|F127|18	F127	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
3	RUEDA13|WINTER|F105|3	F105	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
45	RUEDA13|SPRING|F250|45	F250	2008-10-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
35	RUEDA13|SPRING|F240|35	F240	2008-10-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
9	RUEDA13|WINTER|F118|9	F118	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
7	RUEDA13|WINTER|F116|7	F116	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
93	RUEDA13|FALL|F598|93	F598	2009-04-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
41	RUEDA13|SPRING|F246|41	F246	2008-10-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
26	RUEDA13|WINTER|F135|26	F135	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
47	RUEDA13|SPRING|F252|47	F252	2008-10-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
74	RUEDA13|FALL|F572|74	F572	2009-04-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
42	RUEDA13|SPRING|F247|42	F247	2008-10-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
59	RUEDA13|SPRING|F265|59	F265	2008-10-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
77	RUEDA13|FALL|F575|77	F575	2009-04-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
72	RUEDA13|FALL|F570|72	F570	2009-04-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
79	RUEDA13|FALL|F577|79	F577	2009-04-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
73	RUEDA13|FALL|F571|73	F571	2009-04-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
28	RUEDA13|WINTER|F138|28	F138	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
36	RUEDA13|SPRING|F241|36	F241	2008-10-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
90	RUEDA13|FALL|F595|90	F595	2009-04-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
51	RUEDA13|SPRING|F256|51	F256	2008-10-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
49	RUEDA13|SPRING|F254|49	F254	2008-10-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
31	RUEDA13|WINTER|F141|31	F141	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
16	RUEDA13|WINTER|F125|16	F125	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
86	RUEDA13|FALL|F590|86	F590	2009-04-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
40	RUEDA13|SPRING|F245|40	F245	2008-10-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
10	RUEDA13|WINTER|F119|10	F119	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
78	RUEDA13|FALL|F576|78	F576	2009-04-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
69	RUEDA13|FALL|F567|69	F567	2009-04-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
63	RUEDA13|FALL|F491|63	F491	2009-04-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
32	RUEDA13|SPRING|F235|32	F235	2008-10-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
19	RUEDA13|WINTER|F128|19	F128	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
43	RUEDA13|SPRING|F248|43	F248	2008-10-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
84	RUEDA13|FALL|F582|84	F582	2009-04-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
54	RUEDA13|SPRING|F259|54	F259	2008-10-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
92	RUEDA13|FALL|F597|92	F597	2009-04-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
68	RUEDA13|FALL|F524|68	F524	2009-04-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
48	RUEDA13|SPRING|F253|48	F253	2008-10-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
33	RUEDA13|SPRING|F238|33	F238	2008-10-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
56	RUEDA13|SPRING|F262|56	F262	2008-10-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
81	RUEDA13|FALL|F579|81	F579	2009-04-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
61	RUEDA13|FALL|F489|61	F489	2009-04-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
85	RUEDA13|FALL|F589|85	F589	2009-04-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
57	RUEDA13|SPRING|F263|57	F263	2008-10-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
37	RUEDA13|SPRING|F242|37	F242	2008-10-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
11	RUEDA13|WINTER|F120|11	F120	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
17	RUEDA13|WINTER|F126|17	F126	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
76	RUEDA13|FALL|F574|76	F574	2009-04-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
62	RUEDA13|FALL|F490|62	F490	2009-04-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
71	RUEDA13|FALL|F569|71	F569	2009-04-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
53	RUEDA13|SPRING|F258|53	F258	2008-10-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
75	RUEDA13|FALL|F573|75	F573	2009-04-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
70	RUEDA13|FALL|F568|70	F568	2009-04-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
30	RUEDA13|WINTER|F140|30	F140	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
23	RUEDA13|WINTER|F132|23	F132	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
20	RUEDA13|WINTER|F129|20	F129	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
21	RUEDA13|WINTER|F130|21	F130	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
34	RUEDA13|SPRING|F239|34	F239	2008-10-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
4	RUEDA13|WINTER|F112|4	F112	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
2	RUEDA13|WINTER|F104|2	F104	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
